m49,VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
348,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Hungary,2022,0.5275125,%,E,false
352,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Iceland,2020,0.000176471,%,I,false
352,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Iceland,2021,0.000176471,%,I,false
352,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Iceland,2022,0.000176471,%,I,false
356,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,India,2020,36.003977183,%,I,false
356,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,India,2021,36.003977183,%,I,false
356,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,India,2022,36.003977183,%,I,false
360,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Indonesia,2020,9.397136771,%,I,false
360,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Indonesia,2021,9.397136771,%,I,false
360,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Indonesia,2022,9.397136771,%,I,false
364,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Iran (Islamic Republic of),2020,62.753110292,%,I,false
364,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Iran (Islamic Republic of),2021,62.753110292,%,I,false
364,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Iran (Islamic Republic of),2022,62.753110292,%,I,false
368,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Iraq,2020,36.375472958,%,E,false
368,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Iraq,2021,34.6861785,%,E,false
368,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Iraq,2022,34.6861785,%,E,false
372,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ireland,2020,0.075,%,E,false
372,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ireland,2021,0.076923077,%,E,false
372,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ireland,2022,0.076211538,%,E,false
376,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Israel,2020,67.134831461,%,E,false
376,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Israel,2021,72.247191011,%,E,false
376,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Israel,2022,68.235955056,%,E,false
380,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Italy,2020,8.886565604,%,I,false
380,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Italy,2021,8.886565604,%,I,false
380,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Italy,2022,8.886565604,%,I,false
388,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Jamaica,2020,1.040861571,%,E,false
388,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Jamaica,2021,0.729665023,%,E,false
388,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Jamaica,2022,0.729665023,%,E,false
392,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Japan,2020,12.372093023,%,E,false
392,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Japan,2021,12.325581395,%,E,false
392,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Japan,2022,12.325581395,%,E,false
400,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Jordan,2020,60.897545358,%,E,false
400,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Jordan,2021,60.897545358,%,E,false
400,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Jordan,2022,60.897545358,%,E,false
398,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Kazakhstan,2020,14.205331612,%,E,false
398,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Kazakhstan,2021,13.565169265,%,E,false
398,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Kazakhstan,2022,13.157457799,%,E,false
404,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Kenya,2020,10.534201954,%,I,false
404,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Kenya,2021,10.534201954,%,I,false
404,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Kenya,2022,10.534201954,%,I,false
414,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Kuwait,2020,3892,%,I,false
414,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Kuwait,2021,3892,%,I,false
414,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Kuwait,2022,3892,%,I,false
417,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Kyrgyzstan,2020,30.061817258,%,I,false
417,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Kyrgyzstan,2021,30.061817258,%,I,false
417,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Kyrgyzstan,2022,30.061817258,%,I,false
432,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Land Locked Developing Countries,2020,6.211850617,%,E,true
432,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Land Locked Developing Countries,2021,5.956141409,%,E,true
432,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Land Locked Developing Countries,2022,5.99048061,%,E,true
418,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Lao People's Democratic Republic,2020,2.113943029,%,E,false
418,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Lao People's Democratic Republic,2021,2.113943029,%,E,false
418,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Lao People's Democratic Republic,2022,2.113943029,%,E,false
419,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Latin America and the Caribbean,2020,1.967283252,%,E,true
419,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Latin America and the Caribbean,2021,1.883257998,%,E,true
419,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Latin America and the Caribbean,2022,1.906551441,%,E,true
428,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Latvia,2020,0.158345736,%,E,false
428,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Latvia,2021,0.151708643,%,E,false
428,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Latvia,2022,0.143382942,%,E,false
199,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Least Developed Countries,2020,2.963534125,%,E,true
199,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Least Developed Countries,2021,2.963542344,%,E,true
199,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Least Developed Countries,2022,2.963542344,%,E,true
